6
0,2,0,0,23,0,0,0,0,0,32,0,16,0,0,0,19,36,0,0,18,0,0,7,10,0,0,0,0,0,30,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,32,0,29,21,0,0,0,35,2,25,6,0,11,36,0,15,0,0,0,0,0,0,0,22
14,0,0,0,0,0,0,26,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32,0,31,0,0,0,4,30,0,0,1,2,35,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
13,0,26,0,7,24,15,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0
0,0,0,0,0,15,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,0,1,0,0,0,0,0,3,0,29,0,0
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,25,0,0,0,0,0,11,2,0,0,0,0,0,19,26,0
0,0,0,24,26,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,30,0,0,28,0,0,23,0,0,0,0,0
0,0,0,0,10,18,0,0,7,0,22,0,0,0,0,0,12,0,30,0,31,0,0,0,0,0,0,32,0,23,0,2,0,0,0,0
0,0,6,0,0,2,0,0,23,0,0,0,0,0,0,26,0,0,13,0,0,17,5,10,0,27,4,0,0,0,0,0,0,0,0,0
0,0,0,0,29,0,0,0,0,4,1,27,25,0,0,0,0,0,0,0,36,15,0,0,19,0,0,0,0,0,0,0,0,13,10,0
23,25,0,35,34,0,0,0,21,29,31,0,0,0,6,0,0,0,0,16,22,0,0,0,13,0,0,0,33,0,12,0,0,14,4,27
0,0,0,0,1,0,0,0,8,0,0,10,0,0,3,0,0,29,0,9,0,0,2,0,15,0,0,0,0,0,0,19,0,24,0,0
0,0,0,0,36,0,0,35,0,25,23,0,7,0,0,22,18,0,0,0,0,0,0,0,0,0,0,0,12,28,32,0,0,3,0,29
0,0,0,0,22,19,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,24,18,0,7,0,12,14,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
0,23,35,0,25,9,30,0,0,0,0,0,0,0,15,36,16,0,24,0,7,26,0,0,17,0,0,0,0,0,0,0,0,0,0,4
0,21,0,0,0,0,0,0,0,1,0,0,0,9,0,25,0,0,0,0,20,11,16,0,0,0,0,0,0,0,8,0,0,0,0,0
26,0,0,0,0,0,0,0,11,6,15,0,0,0,7,13,0,18,0,33,0,8,0,0,12,0,0,1,0,29,0,0,0,0,0,0
0,0,0,32,0,0,0,12,29,0,0,0,0,0,0,6,0,0,20,36,0,0,26,19,0,0,0,0,0,0,4,0,0,5,0,8
0,0,0,0,0,25,31,21,0,0,35,0,0,0,0,19,26,0,0,22,17,0,0,13,0,0,0,33,0,0,29,1,0,0,0,28
0,0,0,0,30,0,0,0,4,0,27,0,0,0,21,0,0,0,0,0,15,0,0,6,0,16,19,0,0,26,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,6,0,0,0,26,0,0,20,19,0
0,0,0,0,0,0,0,0,26,0,0,0,0,33,0,0,4,0,12,1,0,28,0,0,0,0,9,0,0,0,0,25,15,0,0,0
25,0,0,9,0,0,12,0,0,0,29,0,0,0,0,15,36,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,14
0,0,2,0,15,23,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,28,0,30
0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,27,0,14,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
0,0,16,0,24,0,0,0,0,0,0,0,10,0,0,0,33,0,0,0,0,14,1,0,0,0,0,0,29,31,0,21,0,0,0,0
0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,34,9,0,0,0,0,0,0,0,36,0,0,0,0,24,19
0,0,0,0,3,0,0,8,0,0,0,14,0,0,0,35,0,9,0,0,0,0,0,0,0,0,0,20,0,22,0,0,0,0,0,0
15,0,25,0,0,0,0,0,35,0,0,0,0,0,0,0,24,0,0,0,0,0,17,18,33,5,0,10,0,0,0,4,30,1,0,0
35,0,0,0,0,0,4,0,0,28,30,0,0,0,0,0,15,0,0,0,0,20,0,0,0,7,0,0,0,0,0,0,0,33,0,0
0,13,0,7,0,0,0,0,0,0,0,0,0,0,33,0,0,5,1,0,0,0,3,0,0,0,0,0,0,35,0,0,0,25,0,0
27,14,0,0,8,10,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,36,0,0
24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33,10,0,5,0,0,0,0,0,0,30,3,0,0,0,31,0,0
0,0,0,0,28,4,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,2,0,20,0,11,0,0,0,26,0,0,0,0
