7
0,32,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,47,0,42,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,18,0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,22,0,0,46
40,0,0,0,0,0,0,0,22,6,0,0,0,0,0,15,0,0,0,0,35,0,29,43,0,0,0,44,0,23,14,0,17,0,0,0,0,16,5,0,34,0,0,0,0,0,0,37,0
0,0,1,0,45,0,0,0,0,0,0,36,0,0,0,0,0,0,0,2,0,0,0,30,7,0,0,0,43,0,0,21,4,0,0,0,0,22,0,0,0,6,11,0,0,0,38,34,0
0,0,0,0,0,0,0,12,0,0,34,0,0,0,0,0,0,0,39,0,26,0,0,41,0,17,0,0,2,40,0,0,9,0,0,0,7,0,0,0,37,0,44,0,13,0,0,0,0
0,0,0,46,0,0,0,0,0,0,0,7,49,0,34,0,5,0,0,38,0,20,28,0,0,0,0,0,0,19,42,0,0,36,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,49,0,0,0,0,17,0,0,8,0,0,0,4,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,16,32,0,20,0,0,0,0,0,0,0,0,36,0,0,27,42
0,0,0,0,0,6,0,0,0,43,0,0,47,0,0,0,0,0,0,0,0,0,20,0,25,0,28,0,36,33,35,15,0,0,0,0,48,0,0,0,29,41,0,17,45,0,0,14,1
30,0,0,0,0,11,0,0,44,41,0,0,21,0,0,0,0,0,37,0,31,15,35,0,0,0,0,0,0,38,0,0,0,10,46,0,0,0,0,0,14,0,0,0,0,40,0,0,0
0,0,0,0,0,23,8,0,0,33,0,0,0,0,0,0,20,24,25,0,0,31,0,0,0,0,0,0,0,41,0,0,44,48,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,9,0,0,0,0,0,3,0,0,0,2,0,0,17,0,0,0,0,0,5,0,7,0,47,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,46,0
0,0,15,0,0,0,0,0,0,30,0,0,12,0,0,0,0,38,0,0,0,0,1,8,0,23,0,0,0,0,0,0,40,0,28,0,0,0,0,7,0,43,0,0,0,0,0,29,0
0,37,0,47,49,0,0,17,0,2,14,0,0,0,0,0,0,41,48,0,4,0,0,0,0,0,0,0,32,0,0,0,0,0,5,0,25,0,0,0,0,24,33,0,0,0,0,0,0
24,0,0,20,0,0,0,0,6,38,0,0,0,39,0,19,0,0,0,0,0,4,0,0,0,0,0,0,8,2,0,0,23,0,0,0,0,0,0,32,0,30,0,0,0,0,0,49,0
0,0,0,0,0,0,26,0,0,29,18,0,0,0,0,0,0,0,16,12,0,36,0,20,0,0,0,42,0,0,0,0,0,0,19,0,0,45,0,0,0,0,0,0,0,0,0,0,0
0,31,0,43,18,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,8,0,0,0,0,34,0,5,0,0,30,0,37,0,0,36,0,27,0,0,0,0,0,0,0,0,0,0,33
