4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,6,11,7,9,0,2,12,0,0,0,0
0,0,0,13,0,0,0,0,0,14,0,11,0,0,0,0
0,0,0,0,0,2,12,0,0,0,0,0,0,0,15,1
0,0,0,0,0,0,0,2,0,0,1,0,0,11,0,0
0,0,10,0,5,0,8,0,15,11,0,0,0,12,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,12,9,0,0,0,13,0,4,0,0,1,0
0,0,4,0,0,0,0,0,5,0,0,16,0,0,0,0
0,13,8,0,1,0,0,5,0,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,13,0,0,0,16,0,0,0
0,5,0,0,0,0,15,0,0,0,0,6,0,0,0,0
6,0,0,0,2,0,0,0,0,0,0,10,1,15,0,0
0,0,0,0,15,0,0,0,14,0,0,0,0,0,13,4
0,0,13,0,0,5,10,8,3,0,0,0,0,6,0,0
0,3,11,1,0,0,0,0,0,0,0,0,10,0,5,8
